,year,lib-cons,rally,work,button
369,1948,NA,NA,NA,NA
370,1948,NA,NA,NA,NA
371,1948,NA,NA,NA,NA
372,1948,NA,NA,NA,NA
373,1948,NA,NA,NA,NA
374,1948,NA,NA,NA,NA
375,1948,NA,NA,NA,NA
376,1948,NA,NA,NA,NA
377,1948,NA,NA,NA,NA
378,1948,NA,NA,NA,NA
379,1948,NA,NA,NA,NA
380,1948,NA,NA,NA,NA
381,1948,NA,NA,NA,NA
382,1948,NA,NA,NA,NA
383,1948,NA,NA,NA,NA
384,1948,NA,NA,NA,NA
385,1948,NA,NA,NA,NA
386,1948,NA,NA,NA,NA
387,1948,NA,NA,NA,NA
388,1948,NA,NA,NA,NA
389,1948,NA,NA,NA,NA
390,1948,NA,NA,NA,NA
391,1948,NA,NA,NA,NA
392,1948,NA,NA,NA,NA
393,1948,NA,NA,NA,NA
394,1948,NA,NA,NA,NA
395,1948,NA,NA,NA,NA
396,1948,NA,NA,NA,NA
397,1948,NA,NA,NA,NA
398,1948,NA,NA,NA,NA
399,1948,NA,NA,NA,NA
400,1948,NA,NA,NA,NA
401,1948,NA,NA,NA,NA
402,1948,NA,NA,NA,NA
403,1948,NA,NA,NA,NA
404,1948,NA,NA,NA,NA
405,1948,NA,NA,NA,NA
406,1948,NA,NA,NA,NA
407,1948,NA,NA,NA,NA
408,1948,NA,NA,NA,NA
409,1948,NA,NA,NA,NA
410,1948,NA,NA,NA,NA
411,1948,NA,NA,NA,NA
412,1948,NA,NA,NA,NA
413,1948,NA,NA,NA,NA
414,1948,NA,NA,NA,NA
415,1948,NA,NA,NA,NA
416,1948,NA,NA,NA,NA
417,1948,NA,NA,NA,NA
418,1948,NA,NA,NA,NA
419,1948,NA,NA,NA,NA
420,1948,NA,NA,NA,NA
421,1948,NA,NA,NA,NA
422,1948,NA,NA,NA,NA
423,1948,NA,NA,NA,NA
424,1948,NA,NA,NA,NA
425,1948,NA,NA,NA,NA
426,1948,NA,NA,NA,NA
427,1948,NA,NA,NA,NA
428,1948,NA,NA,NA,NA
429,1948,NA,NA,NA,NA
430,1948,NA,NA,NA,NA
431,1948,NA,NA,NA,NA
432,1948,NA,NA,NA,NA
433,1948,NA,NA,NA,NA
434,1948,NA,NA,NA,NA
435,1948,NA,NA,NA,NA
436,1948,NA,NA,NA,NA
437,1948,NA,NA,NA,NA
438,1948,NA,NA,NA,NA
439,1948,NA,NA,NA,NA
440,1948,NA,NA,NA,NA
441,1948,NA,NA,NA,NA
442,1948,NA,NA,NA,NA
443,1948,NA,NA,NA,NA
444,1948,NA,NA,NA,NA
445,1948,NA,NA,NA,NA
446,1948,NA,NA,NA,NA
447,1948,NA,NA,NA,NA
448,1948,NA,NA,NA,NA
449,1948,NA,NA,NA,NA
450,1948,NA,NA,NA,NA
451,1948,NA,NA,NA,NA
452,1948,NA,NA,NA,NA
453,1948,NA,NA,NA,NA
454,1948,NA,NA,NA,NA
455,1948,NA,NA,NA,NA
456,1948,NA,NA,NA,NA
457,1948,NA,NA,NA,NA
458,1948,NA,NA,NA,NA
459,1948,NA,NA,NA,NA
460,1948,NA,NA,NA,NA
461,1948,NA,NA,NA,NA
462,1948,NA,NA,NA,NA
463,1948,NA,NA,NA,NA
464,1948,NA,NA,NA,NA
465,1948,NA,NA,NA,NA
466,1948,NA,NA,NA,NA
467,1948,NA,NA,NA,NA
468,1948,NA,NA,NA,NA
469,1948,NA,NA,NA,NA
470,1948,NA,NA,NA,NA
471,1948,NA,NA,NA,NA
472,1948,NA,NA,NA,NA
473,1948,NA,NA,NA,NA
474,1948,NA,NA,NA,NA
475,1948,NA,NA,NA,NA
476,1948,NA,NA,NA,NA
477,1948,NA,NA,NA,NA
478,1948,NA,NA,NA,NA
479,1948,NA,NA,NA,NA
480,1948,NA,NA,NA,NA
481,1948,NA,NA,NA,NA
482,1948,NA,NA,NA,NA
483,1948,NA,NA,NA,NA
484,1948,NA,NA,NA,NA
485,1948,NA,NA,NA,NA
486,1948,NA,NA,NA,NA
487,1948,NA,NA,NA,NA
488,1948,NA,NA,NA,NA
489,1948,NA,NA,NA,NA
490,1948,NA,NA,NA,NA
491,1948,NA,NA,NA,NA
492,1948,NA,NA,NA,NA
493,1948,NA,NA,NA,NA
494,1948,NA,NA,NA,NA
495,1948,NA,NA,NA,NA
496,1948,NA,NA,NA,NA
497,1948,NA,NA,NA,NA
498,1948,NA,NA,NA,NA
499,1948,NA,NA,NA,NA
500,1948,NA,NA,NA,NA
501,1948,NA,NA,NA,NA
502,1948,NA,NA,NA,NA
503,1948,NA,NA,NA,NA
504,1948,NA,NA,NA,NA
505,1948,NA,NA,NA,NA
506,1948,NA,NA,NA,NA
507,1948,NA,NA,NA,NA
508,1948,NA,NA,NA,NA
509,1948,NA,NA,NA,NA
510,1948,NA,NA,NA,NA
511,1948,NA,NA,NA,NA
512,1948,NA,NA,NA,NA
513,1948,NA,NA,NA,NA
514,1948,NA,NA,NA,NA
515,1948,NA,NA,NA,NA
516,1948,NA,NA,NA,NA
517,1948,NA,NA,NA,NA
518,1948,NA,NA,NA,NA
519,1948,NA,NA,NA,NA
520,1948,NA,NA,NA,NA
521,1948,NA,NA,NA,NA
522,1948,NA,NA,NA,NA
523,1948,NA,NA,NA,NA
524,1948,NA,NA,NA,NA
525,1948,NA,NA,NA,NA
526,1948,NA,NA,NA,NA
527,1948,NA,NA,NA,NA
528,1948,NA,NA,NA,NA
529,1948,NA,NA,NA,NA
530,1948,NA,NA,NA,NA
531,1948,NA,NA,NA,NA
532,1948,NA,NA,NA,NA
533,1948,NA,NA,NA,NA
534,1948,NA,NA,NA,NA
535,1948,NA,NA,NA,NA
536,1948,NA,NA,NA,NA
537,1948,NA,NA,NA,NA
538,1948,NA,NA,NA,NA
539,1948,NA,NA,NA,NA
540,1948,NA,NA,NA,NA
541,1948,NA,NA,NA,NA
542,1948,NA,NA,NA,NA
543,1948,NA,NA,NA,NA
544,1948,NA,NA,NA,NA
545,1948,NA,NA,NA,NA
546,1948,NA,NA,NA,NA
547,1948,NA,NA,NA,NA
548,1948,NA,NA,NA,NA
549,1948,NA,NA,NA,NA
550,1948,NA,NA,NA,NA
551,1948,NA,NA,NA,NA
552,1948,NA,NA,NA,NA
553,1948,NA,NA,NA,NA
554,1948,NA,NA,NA,NA
555,1948,NA,NA,NA,NA
556,1948,NA,NA,NA,NA
557,1948,NA,NA,NA,NA
558,1948,NA,NA,NA,NA
559,1948,NA,NA,NA,NA
560,1948,NA,NA,NA,NA
561,1948,NA,NA,NA,NA
562,1948,NA,NA,NA,NA
563,1948,NA,NA,NA,NA
564,1948,NA,NA,NA,NA
565,1948,NA,NA,NA,NA
566,1948,NA,NA,NA,NA
567,1948,NA,NA,NA,NA
568,1948,NA,NA,NA,NA
569,1948,NA,NA,NA,NA
570,1948,NA,NA,NA,NA
571,1948,NA,NA,NA,NA
572,1948,NA,NA,NA,NA
573,1948,NA,NA,NA,NA
574,1948,NA,NA,NA,NA
575,1948,NA,NA,NA,NA
576,1948,NA,NA,NA,NA
577,1948,NA,NA,NA,NA
578,1948,NA,NA,NA,NA
579,1948,NA,NA,NA,NA
580,1948,NA,NA,NA,NA
581,1948,NA,NA,NA,NA
582,1948,NA,NA,NA,NA
583,1948,NA,NA,NA,NA
584,1948,NA,NA,NA,NA
585,1948,NA,NA,NA,NA
586,1948,NA,NA,NA,NA
587,1948,NA,NA,NA,NA
588,1948,NA,NA,NA,NA
589,1948,NA,NA,NA,NA
590,1948,NA,NA,NA,NA
591,1948,NA,NA,NA,NA
592,1948,NA,NA,NA,NA
593,1948,NA,NA,NA,NA
594,1948,NA,NA,NA,NA
595,1948,NA,NA,NA,NA
596,1948,NA,NA,NA,NA
597,1948,NA,NA,NA,NA
598,1948,NA,NA,NA,NA
599,1948,NA,NA,NA,NA
600,1948,NA,NA,NA,NA
601,1948,NA,NA,NA,NA
602,1948,NA,NA,NA,NA
603,1948,NA,NA,NA,NA
604,1948,NA,NA,NA,NA
605,1948,NA,NA,NA,NA
606,1948,NA,NA,NA,NA
607,1948,NA,NA,NA,NA
608,1948,NA,NA,NA,NA
609,1948,NA,NA,NA,NA
610,1948,NA,NA,NA,NA
611,1948,NA,NA,NA,NA
612,1948,NA,NA,NA,NA
613,1948,NA,NA,NA,NA
614,1948,NA,NA,NA,NA
615,1948,NA,NA,NA,NA
616,1948,NA,NA,NA,NA
617,1948,NA,NA,NA,NA
618,1948,NA,NA,NA,NA
619,1948,NA,NA,NA,NA
620,1948,NA,NA,NA,NA
621,1948,NA,NA,NA,NA
622,1948,NA,NA,NA,NA
623,1948,NA,NA,NA,NA
624,1948,NA,NA,NA,NA
625,1948,NA,NA,NA,NA
626,1948,NA,NA,NA,NA
627,1948,NA,NA,NA,NA
628,1948,NA,NA,NA,NA
629,1948,NA,NA,NA,NA
630,1948,NA,NA,NA,NA
631,1948,NA,NA,NA,NA
632,1948,NA,NA,NA,NA
633,1948,NA,NA,NA,NA
634,1948,NA,NA,NA,NA
635,1948,NA,NA,NA,NA
636,1948,NA,NA,NA,NA
637,1948,NA,NA,NA,NA
638,1948,NA,NA,NA,NA
639,1948,NA,NA,NA,NA
640,1948,NA,NA,NA,NA
641,1948,NA,NA,NA,NA
642,1948,NA,NA,NA,NA
643,1948,NA,NA,NA,NA
644,1948,NA,NA,NA,NA
645,1948,NA,NA,NA,NA
646,1948,NA,NA,NA,NA
647,1948,NA,NA,NA,NA
648,1948,NA,NA,NA,NA
649,1948,NA,NA,NA,NA
650,1948,NA,NA,NA,NA
651,1948,NA,NA,NA,NA
652,1948,NA,NA,NA,NA
653,1948,NA,NA,NA,NA
654,1948,NA,NA,NA,NA
655,1948,NA,NA,NA,NA
656,1948,NA,NA,NA,NA
657,1948,NA,NA,NA,NA
658,1948,NA,NA,NA,NA
659,1948,NA,NA,NA,NA
660,1948,NA,NA,NA,NA
661,1948,NA,NA,NA,NA
662,1948,NA,NA,NA,NA
663,1952,NA,No,No,NA
664,1952,NA,No,No,NA
665,1952,NA,No,No,NA
666,1952,NA,No,No,NA
667,1952,NA,No,No,NA
668,1952,NA,No,No,NA
669,1952,NA,No,No,NA
670,1952,NA,No,No,NA
671,1952,NA,No,No,NA
672,1952,NA,NA,No,NA
673,1952,NA,No,No,NA
674,1952,NA,No,No,NA
675,1952,NA,No,No,NA
676,1952,NA,No,No,NA
677,1952,NA,No,No,NA
678,1952,NA,No,No,NA
679,1952,NA,No,No,NA
680,1952,NA,No,No,NA
681,1952,NA,No,No,NA
682,1952,NA,No,No,NA
683,1952,NA,DK,DK,NA
684,1952,NA,No,No,NA
685,1952,NA,NA,No,NA
686,1952,NA,No,No,NA
687,1952,NA,DK,DK,NA
688,1952,NA,No,No,NA
689,1952,NA,No,No,NA
690,1952,NA,No,No,NA
691,1952,NA,No,No,NA
692,1952,NA,No,No,NA
693,1952,NA,DK,DK,NA
694,1952,NA,NA,Yes,NA
695,1952,NA,No,No,NA
696,1952,NA,No,No,NA
697,1952,NA,No,No,NA
698,1952,NA,No,No,NA
699,1952,NA,No,No,NA
700,1952,NA,No,No,NA
701,1952,NA,No,No,NA
702,1952,NA,No,No,NA
703,1952,NA,No,No,NA
704,1952,NA,No,No,NA
705,1952,NA,DK,DK,NA
706,1952,NA,No,No,NA
707,1952,NA,DK,DK,NA
708,1952,NA,No,No,NA
709,1952,NA,NA,No,NA
710,1952,NA,No,No,NA
711,1952,NA,No,No,NA
712,1952,NA,No,Yes,NA
713,1952,NA,No,No,NA
714,1952,NA,No,No,NA
715,1952,NA,No,No,NA
716,1952,NA,No,No,NA
717,1952,NA,No,No,NA
718,1952,NA,No,No,NA
719,1952,NA,No,No,NA
720,1952,NA,NA,Yes,NA
721,1952,NA,DK,DK,NA
722,1952,NA,No,No,NA
723,1952,NA,No,No,NA
724,1952,NA,NA,No,NA
725,1952,NA,No,No,NA
726,1952,NA,DK,DK,NA
727,1952,NA,No,No,NA
728,1952,NA,DK,DK,NA
729,1952,NA,No,No,NA
730,1952,NA,No,No,NA
731,1952,NA,No,No,NA
732,1952,NA,No,No,NA
733,1952,NA,No,No,NA
734,1952,NA,No,No,NA
735,1952,NA,No,No,NA
736,1952,NA,No,No,NA
737,1952,NA,No,No,NA
738,1952,NA,No,No,NA
739,1952,NA,No,No,NA
740,1952,NA,No,No,NA
741,1952,NA,No,No,NA
742,1952,NA,No,No,NA
743,1952,NA,No,No,NA
744,1952,NA,NA,No,NA
745,1952,NA,No,No,NA
746,1952,NA,No,No,NA
747,1952,NA,DK,DK,NA
748,1952,NA,No,No,NA
749,1952,NA,No,No,NA
750,1952,NA,No,No,NA
751,1952,NA,DK,DK,NA
752,1952,NA,No,No,NA
753,1952,NA,No,No,NA
754,1952,NA,No,No,NA
755,1952,NA,No,No,NA
756,1952,NA,No,No,NA
757,1952,NA,No,Yes,NA
758,1952,NA,No,No,NA
759,1952,NA,DK,DK,NA
760,1952,NA,No,No,NA
761,1952,NA,No,No,NA
762,1952,NA,No,No,NA
763,1952,NA,No,No,NA
764,1952,NA,No,No,NA
765,1952,NA,No,No,NA
766,1952,NA,DK,DK,NA
767,1952,NA,No,No,NA
768,1952,NA,No,No,NA
769,1952,NA,No,No,NA
770,1952,NA,DK,DK,NA
771,1952,NA,No,No,NA
772,1952,NA,No,No,NA
773,1952,NA,No,No,NA
774,1952,NA,No,No,NA
775,1952,NA,DK,DK,NA
776,1952,NA,No,Yes,NA
777,1952,NA,No,No,NA
778,1952,NA,DK,DK,NA
779,1952,NA,No,No,NA
780,1952,NA,No,No,NA
781,1952,NA,No,No,NA
782,1952,NA,No,No,NA
783,1952,NA,No,No,NA
784,1952,NA,No,Yes,NA
785,1952,NA,No,No,NA
786,1952,NA,No,No,NA
787,1952,NA,No,No,NA
788,1952,NA,DK,DK,NA
789,1952,NA,No,No,NA
790,1952,NA,No,No,NA
791,1952,NA,No,No,NA
792,1952,NA,No,No,NA
793,1952,NA,No,No,NA
794,1952,NA,No,No,NA
795,1952,NA,DK,DK,NA
796,1952,NA,No,No,NA
797,1952,NA,No,No,NA
798,1952,NA,No,No,NA
799,1952,NA,No,No,NA
800,1952,NA,No,No,NA
801,1952,NA,DK,DK,NA
802,1952,NA,No,No,NA
803,1952,NA,No,No,NA
804,1952,NA,No,No,NA
805,1952,NA,No,No,NA
806,1952,NA,No,No,NA
807,1952,NA,NA,No,NA
808,1952,NA,No,No,NA
809,1952,NA,No,No,NA
810,1952,NA,No,No,NA
811,1952,NA,No,No,NA
812,1952,NA,No,No,NA
813,1952,NA,No,No,NA
814,1952,NA,No,No,NA
815,1952,NA,No,No,NA
816,1952,NA,No,Yes,NA
817,1952,NA,No,No,NA
818,1952,NA,No,Yes,NA
819,1952,NA,No,No,NA
820,1952,NA,DK,DK,NA
821,1952,NA,No,No,NA
822,1952,NA,No,No,NA
823,1952,NA,No,No,NA
824,1952,NA,No,No,NA
825,1952,NA,No,No,NA
826,1952,NA,No,No,NA
827,1952,NA,No,No,NA
828,1952,NA,No,No,NA
829,1952,NA,No,No,NA
830,1952,NA,No,No,NA
831,1952,NA,No,No,NA
832,1952,NA,No,No,NA
833,1952,NA,No,No,NA
834,1952,NA,No,No,NA
835,1952,NA,No,No,NA
836,1952,NA,No,No,NA
837,1952,NA,No,No,NA
838,1952,NA,No,No,NA
839,1952,NA,No,No,NA
840,1952,NA,No,No,NA
841,1952,NA,No,No,NA
842,1952,NA,NA,No,NA
843,1952,NA,No,No,NA
844,1952,NA,No,No,NA
845,1952,NA,No,No,NA
846,1952,NA,No,No,NA
847,1952,NA,No,No,NA
848,1952,NA,No,No,NA
849,1952,NA,No,No,NA
850,1952,NA,No,No,NA
851,1952,NA,NA,No,NA
852,1952,NA,No,No,NA
853,1952,NA,DK,DK,NA
854,1952,NA,No,No,NA
855,1952,NA,No,No,NA
856,1952,NA,No,No,NA
857,1952,NA,No,No,NA
858,1952,NA,No,No,NA
859,1952,NA,No,No,NA
860,1952,NA,No,No,NA
861,1952,NA,No,No,NA
862,1952,NA,No,No,NA
863,1952,NA,No,No,NA
